abaza	value
Бгъажьра	Бгъа-[жь]-ра\nперех.\nпустить кого, что-л. с возвышения вниз\nАчв тлачауа й-бгъа-р-жь-х-тI ахIамамла. А. тш., 29. Они пустили вниз, в сторону бани, захромавшего вола.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n1
Бжьажьра	Бжьа-[жь]-ра\nперех.\nпустить кого, что-л. между чем-то\nАтшква апсыхIва й-бжьа-ры-жь-тI. АРС, 118. Они пустили лошадей в ущелье (между горами, возвышениями).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n2
Гаражьра	Гара-[жь]-ра\nперех.\nпустить в люльку (ребенка)\nАсаби дчIвыуа даналага д-гара-л-жь-х-тI. Т. Т. Когда ребенок начал плакать, она его пустила в люльку.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n3
Агыжьра	А-гы-[жь]-ра\nперех.\nлишить кого, что-л. кого-то, чего-то\nАуи закIгьи йгрымыжьхуата (й-й-г-ры-мы-жь-х-уа-та) ддырчатI-ддрыжвтI. Джьандра, 165. Они его, ничего не лишая, накормили, напоили. АлахI акъыль умгыймыжьтI (й-у-г-ый-мы-жь-т), сычкIвын. Садтьыл, 140. Пусть Аллах не лишит тебя разума, сын мой.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n4
Гваражьра	Гвара-[жь]-ра\nперех.\nпустить кого, что-л. во двор\nАжвква гварарыжьхтI (й-гвара-ры-жь-х-тI). АРС, 132. Они коров пустили во двор.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n5
Гвыквыжьра	Гвы-квы-[жь]-ра\nперех.\nнапускать (на сердце пустить) кого, что-л. на кого, что-н.\nАуи й-гIа-й-гвы-квы-з-жь-уан ашитангьи. А. тш., 74. На него я напускал и шайтана.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n6
Гвылажьра	Гвы-ла-[жь]-ра\nперех.\nпустить кого, что-л. в середину (в сердце) кого, чего-то\nАрахв ачвахырта й-а-гвы-ла-й-жьы-н йаргьи дычвхтI Г. Аб. Т. Он скот пустил в середину сенокосного угодия и заснул.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n7
ГвыцIажьра	Гвы-цIа-[жь]-ра\nперех.\nпричинить кому-л. боль (пустить что-то в сердце)\nАхъацIа дандыргвыжвкI ацIабырг райхIв ныжьхта й-р-гвы-цIа-йы-жь-тI. Т. Т. Когда мужчину разозлили, он не только правду им сказал, но и причинил им боль (пустил им в сердце).\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n8
Агъражьра	А-гъра-[жь]-ра\nперех.\nпустить кого, что-л. в середину (внутренности кого-то, чего-то)\nДымгвжважвауа бзи-бзи ахъвшв ажв й-а-гъра-йы-жь-тI. Аб. Т. Он, не торопясь, хорошо ввел (впустил) лекарство в корову.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n9
ГIажьылра	ГIа-[жьы]-лра\nперех.\nпустить кого-л. в помещение (в сторону говорящего)\nКIара йгвыгъазтын арахь ажьира д-гIа-жв-жьы-л-пI. Аб. Т. Если он что-то задумал, вы его пропустите сюда в кузницу.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n10
ГIвнажьра (1)	ГIвна-[жь]-ра\nперех.\nпустить кого, что-л. в дом\nАри азаджв хIыунагIва д-гIвна-жь. Ком., 26.1986, 8. Этого одного ты пусти в наш дом.\nПРЕВЕРБЫ+СУФФИКСОИД жь\nКлычев, с. page\n11
