part	section_id	section_name	pages	entry_id	abaza	category	preverb	root	suffix	msd	translation	examples	comment	contributor	source	100%
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	1	Бгъа-жь-ра	перех.	Бгъа	жь		ра	пустить кого, что-л. с возвышения вниз	Ачв тлачауа й-бгъа-р-жь-х-тI ахIамамла. А. тш., 29. Они пустили вниз, в сторону бани, захромавшего вола.		George Moroz	Бгъа-жь-ра перех. пустить кого, что-л. с возвышения ипиз, Ачв тлачауа й-бгъа-р-жь-х-Т ахТамамла. А. тш., 29. ини пустили вниз, в сторону бани, захромавшего вола.	117
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	2	Бжьа-жь-ра	перех.	Бжьа	жь		ра	пустить кого, что-л. между чем-то	Атшква апсыхIва й-бжьа-ры-жь-тI. АРС, 118. Они пустили лошадей в ущелье (между горами, возвышениями).		George Moroz	Бжьа-жь-ра перех. пустить кого, что-л. между чем-то, Алшква апсыхТва й-бжьа-ры-жь-1Т. АРС, 118. Они пустили чошадей в ущелье (между горами, возвышениями).	1549
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	3	Гара-жь-ра	перех.	Гара	жь		ра	пустить в люльку (ребенка)	Асаби дчIвыуа даналага д-гара-л-жь-х-тI. Т. Т. Когда ребенок начал плакать, она его пустила в люльку.		George Moroz	Гара-жь-ра перех. пустить в люльку (ребенка). Асв- би дчГвыуа даналага д-гара-л-жь-х-тТ. Т. Т. Когда ребенок начал плакать, она его пустила в люльку.	508
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	4	А-гы-жь-ра	перех.	А-гы	жь		ра	лишить кого, что-л. кого-то, чего-то	Ауи закIгьи йгрымыжьхуата (й-й-г-ры-мы-жь-х-уа-та) ддырчатI-ддрыжвтI. Джьандра, 165. Они его, ничего не лишая, накормили, напоили. АлахI акъыль умгыймыжьтI (й-у-г-ый-мы-жь-т), сычкIвын. Садтьыл, 140. Пусть Аллах не лишит тебя разума, сын мой.		George Moroz	А-гы-жь-ра перех. лишить кого, что-л. кого-то, чего- то. Ауи зактьи Игрымыжьхуата (й-й-г-ры-мы-жь-х-уа-та) ддырчат[-ддрыжвт!. Джьандра, 165. Они его, ничего не лишая, накормили, напоили. Алах! акъыль умгыймыжьт] {й-уг-ый-мы-жь-т, сычвын. Садтьыл, 140. Пусть аллах не лишит тебя разума, сын мой.	181
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	5	Гвара-жь-ра	перех.	Гвара	жь		ра	пустить кого, что-л. во двор	Ажвква гварарыжьхтI (й-гвара-ры-жь-х-тI). АРС, 132. Они коров пустили во двор.		George Moroz	Гвара-жь-ра перех. пустить кого, что-л. во двор. Ажв- ква гварарыжьхт! (й-гвара-ры-жь-х-тТ). АРС, 132. Они ко- ров пустили во двор.	455
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	6	Гвы-квы-жь-ра	перех.	Гвы-квы	жь		ра	напускать (на сердце пустить) кого, что-л. на кого, что-н.	Ауи й-гIа-й-гвы-квы-з-жь-уан ашитангьи. А. тш., 74. На него я напускал и шайтана.		George Moroz	Гвы-квы-жь-ра перех. напускать (на сердце пустить) кого, что-л. на кого, что-н. Ауи й-та-й-гвы-квы-з-жь-уан ишитантьи. А. тш., 74. На него я напускал и шайтана.	54
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	7	Гвы-ла-жь-ра	перех.	Гвы-ла	жь		ра	пустить кого, что-л. в середину (в сердце) кого, чего-то	Арахв ачвахырта й-а-гвы-ла-й-жьы-н йаргьи дычвхтI Г. Аб. Т. Он скот пустил в середину сенокосного угодия и заснул.		George Moroz	Гвы-ла-жь-ра перех. пустить кого, что-л. в середину (в сердце) кого, чего-то. Арахв ачвахырта Й-а-гвы-ла-й- жьыьн йартьи дычвхт!Г. Аб. Т. Он скот пустил в середи- му сенокосного угодия и заснул.	511
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	9	8	Гвы-цIа-жь-ра	перех.	Гвы-цIа	жь		ра	причинить кому-л. боль (пустить что-то в сердце)	АхъацIа дандыргвыжвкI ацIабырг райхIв ныжьхта й-р-гвы-цIа-йы-жь-тI. Т. Т. Когда мужчину разозлили, он не только правду им сказал, но и причинил им боль (пустил им в сердце).		George Moroz	Гвы-цТа-жь-ра перех. АРС, 140. Причинить кому-л. боль (пустить что-то в сердце). Ахъац]а дандыргвыжвкТ цТабырг райхв ныжьхта й-р-гвы-цТа-йы-жь-тГ. Т. Т. Ког- да мужчину разозлили, он не только правду им сказал, но и причинил им боль (пустил им в сердце).	505
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	10	9	А-гъра-жь-ра	перех.	А-гъра	жь		ра	пустить кого, что-л. в середину (внутренности кого-то, чего-то)	Дымгвжважвауа бзи-бзи ахъвшв ажв й-а-гъра-йы-жь-тI. Аб. Т. Он, не торопясь, хорошо ввел (впустил) лекарство в корову.		George Moroz	А-гъра-жь-ра перех. пустить кого, что-л. в середину {внутренности кого-то, чего-то. Дымгвжважвауа бзи-бзи ахъвшв ажв Й-а-гъра-нь-жь-тЕ. Аб. Т. Он, не торопясь, хо- рошо ввел (впустил) лекарство в корову.	504
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	10	10	ГIа-жьы-л-ра	перех.	ГIа	жьы	л	ра	пустить кого-л. в помещение (в сторону говорящего)	КIара йгвыгъазтын арахь ажьира д-гIа-жв-жьы-л-пI. Аб. Т. Если он что-то задумал, вы его пропустите сюда в кузницу.		George Moroz	ГЛа-жьы-л-ра перех. пустить кого-л. в помещение {в сторону говорящего). КЛара йгвыгЪъазтын арахь ажьира д-Ма-жи-жьы-л-лТ. Аб. Т. Если он что-то задумал, вы его пропустите сюда в кузницу.	
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	10	11	ГIвна-жь-ра	перех.	ГIвна	жь		ра	пустить кого, что-л. в дом	Ари азаджв хIыунагIва д-гIвна-жь. Ком., 26.\.1986, 8. Этого одного ты пусти в наш дом.		George Moroz	ГТвна-жь-ра перех. пустить кого, что-л. в дом. Ари азаджв хТыунаМва д-твна-жь. Ком., 26.\.1986, 8. Этого одного ты пусти в наш дом. .	
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	10	12	ГIвна-жь-ра	перех.	ГIвна	жь		ра	оставлять кого, что-л. в доме	Атдзыжв хIгIагIвналыжьуанта (хI-гIа-а-гIвна-лы-жь-уан-та) ащажь апхъа аферма дыгIвуан. Адгьыл, 153. Она нас оставляла в старом доме и до рассвета уходила на ферму.		George Moroz	ТЛвна-жь-ра перех. оставлять кого, что-л. в доме, Атдзыжв хПТагвналыжьуанта  (хГ-Та-а-Твна-лы-жь-уан- та) ащажь апхъа аферма дыГвуан. Адгьыл, 153. Она нас оставляла в старом доме и до рассвета уходила на ферму.	
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	10	13	А-д-жьы-л-ра	перех.	А-д	жьы	л	ра	оставлять кого, что-л. рядом с кем-то, чем-то	Аджв-гIвыджь арахв й-гIа-р-ы-д-и-жьы-л-уан. Адгьыл, 8. Он одного двух оставлял со скотом (рядом).		George Moroz	А-д-жьы-л-ра перех. оставлять кого, что-л. рядом с кем-то, чем-то. Аджв-Твыджь арахв й-гТа-р-ы-д-и-жьы- л-уан. Адгьыл, 8. Он одного двух оставлял со скотом (ря- дом).	
1	1	ПРЕВЕРБЫ+СУФФИКСОИД жь	10	14	Джвы-квы-жь-ра	перех.	Джвы-квы	жь		ра	отправлять туда	АпхIвыс бзи лхъацIа хьадъа д-гь-джвы-квы-л-жь-уа-м. АПА, 50. Хорошая женщина не отправляет своего мужа без провизии.		George Moroz	Джвы-квы-жь-ра перех. отправлять туда. АпхШвыс бзи лхъаШа хьадъа д-ть-джвы-квы-л-жь-уа-м. АПА, 50. Хорошая женщина не отправляет своего мужа без прови- зии.	
